FISC_PERIOD,FISC_YEAR,REGION,OFFICE,TOWN,TTL_CPS_ACEPT_M,TTL_CPS_SUBS_M,TTL_ALLEGAT_M,TTL_ALLEGAT_SUBS_M,TTL_PHYS_ABUSE_M,TTL_EDUC_NEGLECT_M,TTL_EMOT_NEGLECT_M,TTL_HIGH_RISK_M,TTL_MEDI_NEGLECT_M,TTL_AT_RISK_M,TTL_PHYS_NEGLECT_M,TTL_SEX_ABUSE_M,SUBS_PHYS_ABUSE_M,SUBS_EDUC_NEGLECT_M,SUBS_EMOT_NEGLECT_M,SUBS_HIGH_RISK_M,SUBS_MEDI_NEGLECT_M,SUBS_AT_RISK_M,SUBS_PHYS_NEGLECT_M,SUBS_SEX_ABUSE_M,CHILDREN_SUBS,RATE_PHYS_ABUSE_M,RATE_EDUC_NEGLECT_M,RATE_EMOT_NEGLECT_M,RATE_HIGH_RISK_M,RATE_MEDI_NEGLECT_M,RATE_AT_RISK_M,RATE_PHYS_NEGLECT_M,RATE_SEX_ABUSE_M
07/01/2013 - 06/30/2014,2014,REGION 5,WATERBURY,PROSPECT,46,<= 10,112,<= 10,18,-,23,-,<= 10,-,59,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,0 - 10 %,40 - 50 %
07/01/2012 - 06/30/2013,2013,REGION 5,TORRINGTON,CANAAN,18,-,53,-,<= 10,<= 10,<= 10,-,<= 10,-,36,<= 10,-,-,-,-,-,-,-,-,-,0 - 10 %,0 - 10 %,0 - 10 %,-,0 - 10 %,-,-,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 6,NEW BRITAIN,PLYMOUTH,111,19,265,48,29,15,58,-,<= 10,-,146,<= 10,-,<= 10,12,-,-,-,32,<= 10,28,-,10 - 20 %,59%,-,0 - 10 %,-,47%,90 - 100 %
07/01/2011 - 06/30/2012,2012,REGION 3,MIDDLETOWN,PORTLAND,46,<= 10,103,11,<= 10,<= 10,28,-,-,-,61,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,10 - 20 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,NORFOLK,<= 10,<= 10,27,<= 10,<= 10,-,<= 10,-,-,-,16,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,30 - 40 %,-,-,-,20 - 30 %,-
07/01/2012 - 06/30/2013,2013,REGION 1,NORWALK,GREENWICH,236,19,523,40,67,16,100,-,<= 10,-,289,12,<= 10,<= 10,11,-,-,-,23,<= 10,26,10 - 20 %,10 - 20 %,14%,-,0 - 10 %,-,34%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 3,NORWICH,GROTON,365,69,984,229,105,17,188,-,27,-,585,20,13,<= 10,64,-,<= 10,-,135,<= 10,100,13%,10 - 20 %,47%,-,20 - 30 %,-,32%,30 - 40 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,BOLTON,18,<= 10,52,<= 10,<= 10,-,<= 10,-,<= 10,-,33,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 3,WILLIMANTIC,STERLING,33,<= 10,76,<= 10,<= 10,<= 10,13,-,<= 10,-,45,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,0 - 10 %,90 - 100 %,-,0 - 10 %,-,10 - 20 %,90 - 100 %
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,WINDHAM,494,63,1276,173,109,75,261,-,23,-,726,24,<= 10,<= 10,50,-,<= 10,-,103,<= 10,79,0 - 10 %,10 - 20 %,56%,-,10 - 20 %,-,36%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,BEACON FALLS,37,<= 10,84,<= 10,<= 10,<= 10,20,-,-,-,44,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,0 - 10 %,0 - 10 %,-,-,-,0 - 10 %,40 - 50 %
07/01/2015 - 06/30/2016,2016,REGION 3,WILLIMANTIC,KILLINGLY,235,42,669,164,56,<= 10,151,-,17,-,404,17,<= 10,-,64,-,-,-,90,<= 10,69,20 - 30 %,0 - 10 %,217%,-,-,-,63%,50 - 60 %
07/01/2015 - 06/30/2016,2016,REGION 1,NORWALK,GREENWICH,222,29,487,59,65,<= 10,108,-,<= 10,-,268,15,<= 10,<= 10,18,-,-,-,34,<= 10,38,0 - 10 %,90 - 100 %,20%,-,0 - 10 %,-,41%,10 - 20 %
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,ESSEX,20,<= 10,52,<= 10,<= 10,-,<= 10,-,<= 10,-,42,<= 10,<= 10,-,-,-,-,-,<= 10,-,<= 10,40 - 50 %,-,0 - 10 %,-,0 - 10 %,-,100 - 110 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 4,MANCHESTER,SUFFIELD,39,<= 10,125,39,11,<= 10,29,-,<= 10,-,76,<= 10,<= 10,<= 10,<= 10,-,-,-,28,-,<= 10,10 - 20 %,90 - 100 %,70 - 80 %,-,0 - 10 %,-,60%,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 3,WILLIMANTIC,STERLING,43,<= 10,126,28,<= 10,<= 10,27,-,-,-,82,<= 10,<= 10,-,13,-,-,-,13,<= 10,12,10 - 20 %,0 - 10 %,121%,-,-,-,60%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,CANAAN,22,<= 10,93,28,<= 10,<= 10,18,-,<= 10,-,61,<= 10,-,-,<= 10,-,<= 10,-,17,-,13,0 - 10 %,0 - 10 %,80 - 90 %,-,90 - 100 %,-,50%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 4,MANCHESTER,HEBRON,34,<= 10,129,58,<= 10,-,31,-,<= 10,-,82,<= 10,-,-,14,-,-,-,42,-,12,0 - 10 %,-,99%,-,0 - 10 %,-,109%,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 5,WATERBURY,PROSPECT,37,<= 10,96,<= 10,<= 10,-,17,-,-,-,55,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,10 - 20 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 3,MIDDLETOWN,HADDAM,34,<= 10,86,<= 10,<= 10,<= 10,20,-,<= 10,-,45,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,20 - 30 %,-,0 - 10 %,-,10 - 20 %,-
07/01/2013 - 06/30/2014,2014,REGION 5,TORRINGTON,WATERTOWN,110,15,297,43,21,<= 10,74,-,<= 10,-,163,15,<= 10,<= 10,<= 10,-,-,-,30,<= 10,23,10 - 20 %,10 - 20 %,10 - 20 %,-,0 - 10 %,-,36%,50 - 60 %
07/01/2015 - 06/30/2016,2016,REGION 5,TORRINGTON,WASHINGTON,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,-,-,-,<= 10,-,-,-,-,-,-,-,<= 10,-,<= 10,-,0 - 10 %,-,-,-,-,70 - 80 %,-
07/01/2014 - 06/30/2015,2015,REGION 3,MIDDLETOWN,ESSEX,21,<= 10,49,11,<= 10,<= 10,<= 10,-,<= 10,-,28,<= 10,-,<= 10,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,40 - 50 %,40 - 50 %,-,0 - 10 %,-,70 - 80 %,90 - 100 %
07/01/2012 - 06/30/2013,2013,REGION 3,MIDDLETOWN,CROMWELL,83,<= 10,245,<= 10,23,<= 10,65,-,<= 10,-,133,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,0 - 10 %,0 - 10 %,-,0 - 10 %,-,0 - 10 %,10 - 20 %
07/01/2012 - 06/30/2013,2013,REGION 5,TORRINGTON,GOSHEN,<= 10,<= 10,36,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,19,-,-,<= 10,<= 10,-,-,-,-,-,<= 10,0 - 10 %,90 - 100 %,20 - 30 %,-,0 - 10 %,-,-,-
07/01/2015 - 06/30/2016,2016,REGION 1,NORWALK,STAMFORD,973,146,2010,292,272,84,328,-,30,-,1170,49,17,13,52,-,<= 10,-,184,11,172,6%,15%,16%,-,10 - 20 %,-,116%,23%
07/01/2011 - 06/30/2012,2012,REGION 3,WILLIMANTIC,KILLINGLY,263,64,777,251,72,<= 10,166,-,14,-,467,29,<= 10,-,96,-,<= 10,-,138,<= 10,111,10 - 20 %,0 - 10 %,182%,-,40 - 50 %,-,69%,30 - 40 %
07/01/2011 - 06/30/2012,2012,REGION 3,NORWICH,WATERFORD,115,18,318,91,32,<= 10,61,-,<= 10,-,196,<= 10,<= 10,<= 10,39,-,<= 10,-,40,-,30,10 - 20 %,40 - 50 %,71%,-,30 - 40 %,-,45%,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 3,MIDDLETOWN,DEEP RIVER,14,<= 10,65,<= 10,<= 10,12,11,-,<= 10,-,38,-,-,-,-,-,<= 10,-,<= 10,-,<= 10,0 - 10 %,-,-,-,60 - 70 %,-,0 - 10 %,-
07/01/2013 - 06/30/2014,2014,REGION 5,TORRINGTON,BETHLEHEM,16,<= 10,43,<= 10,<= 10,-,<= 10,-,-,-,26,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,10 - 20 %,-,-,-,20 - 30 %,30 - 40 %
07/01/2013 - 06/30/2014,2014,REGION 5,TORRINGTON,CORNWALL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07/01/2013 - 06/30/2014,2014,REGION 3,MIDDLETOWN,MADISON,49,<= 10,115,27,12,<= 10,20,-,<= 10,-,60,<= 10,-,-,<= 10,-,-,-,14,<= 10,<= 10,-,0 - 10 %,30 - 40 %,-,0 - 10 %,-,23%,90 - 100 %
07/01/2011 - 06/30/2012,2012,REGION 4,MANCHESTER,GRANBY,40,<= 10,122,<= 10,<= 10,<= 10,23,-,19,-,63,-,-,<= 10,-,-,-,-,<= 10,-,<= 10,0 - 10 %,90 - 100 %,-,-,-,-,0 - 10 %,-
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,NEW HARTFORD,23,<= 10,94,47,16,-,23,-,<= 10,-,47,<= 10,<= 10,-,21,-,<= 10,-,18,-,<= 10,30 - 40 %,-,91%,-,60 - 70 %,-,41%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 1,NORWALK,NEW CANAAN,37,<= 10,67,<= 10,<= 10,-,12,-,-,-,42,-,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,10 - 20 %,-,0 - 10 %,-,-,-,0 - 10 %,-
07/01/2012 - 06/30/2013,2013,REGION 3,NORWICH,EAST LYME,87,19,246,72,24,14,58,-,<= 10,-,133,<= 10,<= 10,<= 10,16,-,<= 10,-,43,-,28,10 - 20 %,100 - 110 %,48%,-,90 - 100 %,-,52%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,CHESTER,12,<= 10,30,<= 10,<= 10,-,<= 10,-,<= 10,-,24,<= 10,-,-,-,-,<= 10,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,90 - 100 %,-,10 - 20 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 3,NORWICH,LISBON,24,<= 10,91,26,<= 10,<= 10,25,-,<= 10,-,58,-,-,-,<= 10,-,-,-,20,-,<= 10,0 - 10 %,0 - 10 %,10 - 20 %,-,0 - 10 %,-,34%,-
07/01/2013 - 06/30/2014,2014,REGION 3,NORWICH,SALEM,20,<= 10,38,<= 10,<= 10,<= 10,<= 10,-,-,-,22,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,20 - 30 %,-,-,-,20 - 30 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 3,NORWICH,VOLUNTOWN,24,<= 10,73,<= 10,<= 10,-,20,-,-,-,40,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,-,-,-,-,0 - 10 %,-
07/01/2015 - 06/30/2016,2016,REGION 5,WATERBURY,MIDDLEBURY,17,<= 10,28,<= 10,<= 10,-,<= 10,-,<= 10,-,13,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 3,NORWICH,EAST LYME,102,23,303,79,<= 10,<= 10,61,-,<= 10,-,196,16,<= 10,<= 10,12,-,-,-,57,<= 10,33,10 - 20 %,20 - 30 %,30%,-,0 - 10 %,-,38%,40 - 50 %
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,THOMASTON,38,<= 10,95,13,11,<= 10,20,-,<= 10,-,57,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,-,0 - 10 %,20 - 30 %,-,0 - 10 %,-,10 - 20 %,60 - 70 %
07/01/2012 - 06/30/2013,2013,REGION 1,NORWALK,WESTPORT,69,<= 10,154,23,15,<= 10,21,-,<= 10,-,103,<= 10,-,-,<= 10,-,-,-,13,<= 10,<= 10,-,0 - 10 %,40 - 50 %,-,0 - 10 %,-,13%,10 - 20 %
07/01/2010 - 06/30/2011,2011,REGION 1,NORWALK,NEW CANAAN,35,<= 10,88,11,16,-,24,-,-,-,46,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,10 - 20 %,-,-,-,10 - 20 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 4,MANCHESTER,BOLTON,20,<= 10,54,<= 10,<= 10,-,<= 10,-,-,-,35,<= 10,<= 10,-,-,-,-,-,-,-,<= 10,10 - 20 %,-,0 - 10 %,-,-,-,-,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 3,WILLIMANTIC,WILLINGTON,26,<= 10,58,14,<= 10,-,13,-,<= 10,-,36,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,20 - 30 %,-,30 - 40 %,-,0 - 10 %,-,20 - 30 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 6,NEW BRITAIN,SIMSBURY,63,<= 10,139,13,15,<= 10,16,-,<= 10,-,94,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,0 - 10 %,50 - 60 %,-,0 - 10 %,-,20 - 30 %,40 - 50 %
07/01/2013 - 06/30/2014,2014,REGION 3,MIDDLETOWN,CHESTER,20,<= 10,55,<= 10,<= 10,<= 10,12,-,-,-,34,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,30 - 40 %,-,-,-,10 - 20 %,-
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,PLAINFIELD,225,35,677,118,44,11,164,-,21,-,401,14,<= 10,-,52,-,<= 10,-,63,<= 10,55,30 - 40 %,-,194%,-,10 - 20 %,-,82%,10 - 20 %
07/01/2015 - 06/30/2016,2016,REGION 5,TORRINGTON,SALISBURY,<= 10,<= 10,23,<= 10,<= 10,<= 10,<= 10,-,-,-,13,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,90 - 100 %,0 - 10 %,90 - 100 %,-,-,-,50 - 60 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,POMFRET,33,<= 10,86,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,56,<= 10,<= 10,<= 10,<= 10,-,-,-,<= 10,-,<= 10,10 - 20 %,40 - 50 %,30 - 40 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 5,TORRINGTON,WINCHESTER,142,27,395,75,25,15,64,-,<= 10,-,264,<= 10,<= 10,<= 10,<= 10,-,-,-,58,<= 10,43,0 - 10 %,40 - 50 %,0 - 10 %,-,0 - 10 %,-,43%,10 - 20 %
07/01/2013 - 06/30/2014,2014,REGION 3,MIDDLETOWN,DEEP RIVER,22,<= 10,62,12,-,-,13,-,<= 10,-,42,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,-,-,20 - 30 %,-,0 - 10 %,-,10 - 20 %,90 - 100 %
07/01/2014 - 06/30/2015,2015,REGION 3,MIDDLETOWN,WESTBROOK,24,<= 10,49,<= 10,<= 10,<= 10,11,-,<= 10,-,26,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,10 - 20 %,0 - 10 %,10 - 20 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,STONINGTON,89,13,226,33,21,<= 10,41,-,<= 10,-,139,<= 10,-,-,<= 10,-,-,-,26,-,17,-,0 - 10 %,20 - 30 %,-,0 - 10 %,-,26%,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 2,MILFORD,BETHANY,19,<= 10,57,<= 10,<= 10,<= 10,18,-,-,-,30,-,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,90 - 100 %,10 - 20 %,-,-,-,0 - 10 %,-
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,KILLINGLY,258,47,728,143,53,12,213,-,16,-,385,34,<= 10,<= 10,61,-,<= 10,-,68,11,62,0 - 10 %,0 - 10 %,85%,-,0 - 10 %,-,70%,73%
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,PUTNAM,181,30,485,81,28,18,114,-,<= 10,-,286,17,<= 10,<= 10,33,-,<= 10,-,40,<= 10,39,0 - 10 %,10 - 20 %,29%,-,10 - 20 %,-,14%,10 - 20 %
07/01/2010 - 06/30/2011,2011,REGION 1,BRIDGEPORT,FAIRFIELD,172,30,396,68,67,<= 10,89,-,<= 10,-,191,<= 10,<= 10,<= 10,<= 10,-,-,-,41,<= 10,41,0 - 10 %,60 - 70 %,10 - 20 %,-,0 - 10 %,-,71%,20 - 30 %
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,BETHLEHEM,13,<= 10,28,<= 10,<= 10,-,<= 10,-,-,-,21,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,0 - 10 %,-
07/01/2012 - 06/30/2013,2013,REGION 5,TORRINGTON,COLEBROOK,<= 10,<= 10,16,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,-,-,90 - 100 %,-,-,-,10 - 20 %,90 - 100 %
07/01/2015 - 06/30/2016,2016,REGION 2,MILFORD,WEST HAVEN,586,115,1324,261,125,71,176,-,24,-,874,28,<= 10,17,31,-,<= 10,-,182,<= 10,161,0 - 10 %,24%,18%,-,40 - 50 %,-,21%,10 - 20 %
07/01/2014 - 06/30/2015,2015,REGION 5,WATERBURY,MIDDLEBURY,21,<= 10,47,<= 10,<= 10,-,<= 10,-,-,-,29,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,30 - 40 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,ASHFORD,35,<= 10,96,19,<= 10,<= 10,22,-,<= 10,-,60,<= 10,<= 10,<= 10,<= 10,-,-,-,<= 10,<= 10,<= 10,20 - 30 %,90 - 100 %,10 - 20 %,-,0 - 10 %,-,10 - 20 %,30 - 40 %
07/01/2015 - 06/30/2016,2016,REGION 3,MIDDLETOWN,MIDDLEFIELD,15,<= 10,26,<= 10,<= 10,-,<= 10,-,<= 10,-,16,<= 10,<= 10,-,<= 10,-,<= 10,-,<= 10,-,<= 10,20 - 30 %,-,90 - 100 %,-,90 - 100 %,-,50 - 60 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,EASTFORD,12,<= 10,37,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,25,<= 10,-,<= 10,-,-,-,-,-,-,<= 10,0 - 10 %,40 - 50 %,0 - 10 %,-,0 - 10 %,-,-,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 6,NEW BRITAIN,SOUTHINGTON,225,51,579,138,72,14,116,-,15,-,332,14,<= 10,11,35,-,<= 10,-,80,<= 10,77,0 - 10 %,157%,86%,-,30 - 40 %,-,46%,30 - 40 %
07/01/2011 - 06/30/2012,2012,REGION 4,MANCHESTER,MARLBOROUGH,18,<= 10,68,14,<= 10,-,13,-,<= 10,-,47,<= 10,-,-,<= 10,-,-,-,11,-,<= 10,0 - 10 %,-,20 - 30 %,-,0 - 10 %,-,23%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 3,MIDDLETOWN,OLD LYME,29,<= 10,65,<= 10,<= 10,<= 10,21,-,-,-,33,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,0 - 10 %,-,-,-,0 - 10 %,-
07/01/2011 - 06/30/2012,2012,REGION 5,WATERBURY,BEACON FALLS,34,<= 10,77,<= 10,11,<= 10,16,-,<= 10,-,38,<= 10,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,-,40 - 50 %,20 - 30 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,EAST WINDSOR,104,12,252,45,26,<= 10,44,-,<= 10,-,164,<= 10,<= 10,-,12,-,-,-,31,-,20,10 - 20 %,0 - 10 %,54%,-,0 - 10 %,-,36%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,LEBANON,42,<= 10,90,11,<= 10,-,15,-,-,-,55,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,30 - 40 %,-,-,-,0 - 10 %,30 - 40 %
07/01/2014 - 06/30/2015,2015,REGION 6,NEW BRITAIN,ROCKY HILL,76,<= 10,197,19,19,<= 10,40,-,<= 10,-,113,<= 10,-,-,<= 10,-,-,-,18,-,<= 10,-,0 - 10 %,0 - 10 %,-,0 - 10 %,-,16%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 6,NEW BRITAIN,FARMINGTON,88,<= 10,200,35,26,<= 10,23,-,<= 10,-,138,<= 10,<= 10,-,<= 10,-,<= 10,-,28,<= 10,30,10 - 20 %,0 - 10 %,10 - 20 %,-,40 - 50 %,-,49%,90 - 100 %
07/01/2015 - 06/30/2016,2016,REGION 3,MIDDLETOWN,WESTBROOK,24,<= 10,55,<= 10,<= 10,-,12,-,<= 10,-,38,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,40 - 50 %,-,0 - 10 %,-,10 - 20 %,-
07/01/2013 - 06/30/2014,2014,REGION 5,DANBURY,BRIDGEWATER,<= 10,-,<= 10,-,-,-,<= 10,-,-,-,<= 10,<= 10,-,-,-,-,-,-,-,-,-,-,-,0 - 10 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 2,MILFORD,ORANGE,20,<= 10,52,13,<= 10,<= 10,<= 10,-,-,-,30,<= 10,<= 10,<= 10,<= 10,-,-,-,<= 10,<= 10,<= 10,20 - 30 %,90 - 100 %,30 - 40 %,-,-,-,10 - 20 %,20 - 30 %
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,CANAAN,16,<= 10,56,13,<= 10,<= 10,<= 10,-,<= 10,-,32,<= 10,<= 10,<= 10,<= 10,-,-,-,<= 10,<= 10,<= 10,90 - 100 %,90 - 100 %,140 - 150 %,-,0 - 10 %,-,10 - 20 %,30 - 40 %
07/01/2012 - 06/30/2013,2013,REGION 3,WILLIMANTIC,POMFRET,47,<= 10,112,17,<= 10,<= 10,22,-,<= 10,-,71,<= 10,-,<= 10,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,190 - 200 %,130 - 140 %,-,0 - 10 %,-,70 - 80 %,90 - 100 %
07/01/2015 - 06/30/2016,2016,REGION 6,NEW BRITAIN,ROCKY HILL,67,11,150,33,28,<= 10,28,-,<= 10,-,76,<= 10,<= 10,-,11,-,-,-,18,<= 10,19,0 - 10 %,0 - 10 %,39%,-,0 - 10 %,-,24%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,LITCHFIELD,38,<= 10,103,21,15,-,23,-,<= 10,-,51,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,13,10 - 20 %,-,80 - 90 %,-,0 - 10 %,-,70 - 80 %,30 - 40 %
07/01/2015 - 06/30/2016,2016,REGION 3,WILLIMANTIC,THOMPSON,89,15,224,74,24,<= 10,45,-,<= 10,-,126,<= 10,<= 10,-,29,-,-,-,35,<= 10,25,50 - 60 %,0 - 10 %,130%,-,0 - 10 %,-,104%,60 - 70 %
07/01/2015 - 06/30/2016,2016,REGION 3,WILLIMANTIC,WOODSTOCK,48,<= 10,126,23,<= 10,-,16,-,<= 10,-,84,<= 10,-,-,<= 10,-,-,-,13,<= 10,12,0 - 10 %,-,130 - 140 %,-,0 - 10 %,-,47%,20 - 30 %
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,NEW LONDON,488,102,1371,351,124,45,178,-,31,-,930,29,24,<= 10,52,-,<= 10,-,243,<= 10,145,19%,20 - 30 %,29%,-,20 - 30 %,-,26%,20 - 30 %
07/01/2014 - 06/30/2015,2015,REGION 6,NEW BRITAIN,CANTON,30,<= 10,66,12,<= 10,<= 10,<= 10,-,-,-,43,<= 10,<= 10,<= 10,<= 10,-,-,-,<= 10,-,<= 10,10 - 20 %,90 - 100 %,10 - 20 %,-,-,-,110 - 120 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 3,WILLIMANTIC,PUTNAM,154,24,418,91,29,<= 10,106,-,11,-,246,<= 10,<= 10,-,28,-,<= 10,-,57,<= 10,37,0 - 10 %,0 - 10 %,27%,-,0 - 10 %,-,23%,120 - 130 %
07/01/2015 - 06/30/2016,2016,REGION 6,NEW BRITAIN,AVON,36,<= 10,104,16,<= 10,-,33,-,<= 10,-,62,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,10 - 20 %,-,0 - 10 %,-,10 - 20 %,40 - 50 %
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,LISBON,26,<= 10,76,23,<= 10,-,12,-,<= 10,-,54,<= 10,-,-,-,-,<= 10,-,22,-,<= 10,0 - 10 %,-,-,-,90 - 100 %,-,41%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 3,WILLIMANTIC,HAMPTON,<= 10,<= 10,21,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,30 - 40 %,-,-,-,10 - 20 %,-
07/01/2012 - 06/30/2013,2013,REGION 6,NEW BRITAIN,CANTON,30,<= 10,61,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,33,<= 10,-,<= 10,-,-,-,-,<= 10,-,<= 10,0 - 10 %,90 - 100 %,0 - 10 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 2,MILFORD,SHELTON,181,44,450,94,56,14,92,-,<= 10,-,249,14,<= 10,<= 10,21,-,<= 10,-,52,<= 10,64,0 - 10 %,30 - 40 %,23%,-,10 - 20 %,-,21%,0 - 10 %
